"","DATE","Original.file.name.","START.true..video.dur","END.IMG..vis.frame.rate","protocol.ID","J_ID","VC1.side","VC2.side","ID","VC1","VC2","Choosen.side","Result","duration","megjegyzés","Choosed_the_compound","Test","Year","Censored"
"1","20230814","VID_20230814_110524.mp4","7","60","2","J18","camphor","piperiton","V49","camphor","piperiton","R","piperiton",7,NA,"Yes","camphor piperiton","2023",1
"2","20230814","VID_20230814_112648.mp4","27","30","3","J18","piperiton","camphor","V50","camphor","piperiton","L","piperiton",13.5,NA,"Yes","camphor piperiton","2023",1
"3","20230814","VID_20230814_113121.mp4","7","15","4","J18","piperiton","camphor","V51","camphor","piperiton","R","camphor",1.75,NA,"Yes","camphor piperiton","2023",1
"4","20230814","VID_20230814_121800.mp4","19","15","7","J18","piperiton","camphor","V54","camphor","piperiton","R","camphor",4.75,NA,"Yes","camphor piperiton","2023",1
"5","20230814","VID_20230814_145716.mp4","15","30","14","J18","camphor","piperiton","V61","camphor","piperiton","R","piperiton",7.5,NA,"Yes","camphor piperiton","2023",1
"6","20230815","VID_20230815_111914.mp4","27","15","2","J17","camphor","piperiton","V64","camphor","piperiton","L","camphor",6.75,NA,"Yes","camphor piperiton","2023",1
"7","20230815","VID_20230815_112224.mp4","6","15","3","J17","piperiton","camphor","V65","camphor","piperiton","R","camphor",1.5,NA,"Yes","camphor piperiton","2023",1
"8","20230815","VID_20230815_114232.mp4","16","30","4","J17","piperiton","camphor","V66","camphor","piperiton","L","piperiton",8,NA,"Yes","camphor piperiton","2023",1
"9","20230815","VID_20230815_125906.mp4","10","30","8","J17","piperiton","camphor","V70","camphor","piperiton","R","camphor",5,NA,"Yes","camphor piperiton","2023",1
"10","20230815","VID_20230815_145513.mp4","3","60","11","J17","piperiton","camphor","V73","camphor","piperiton","L","piperiton",3,NA,"Yes","camphor piperiton","2023",1
"11","20230815","VID_20230815_150748.mp4","11","30","12","J17","piperiton","camphor","V74","camphor","piperiton","R","camphor",5.5,NA,"Yes","camphor piperiton","2023",1
"12","20230824","VID_20230824_105624.mp4","6","30","2","J19","camphor","piperiton","V76","camphor","piperiton","R","piperiton",3,"hátsó lámpa nem ég","Yes","camphor piperiton","2023",1
"13","20230824","VID_20230824_115833.mp4","7","60","4","J19","piperiton","camphor","V78","camphor","piperiton","L","piperiton",7,"hátsó lámpa nem ég","Yes","camphor piperiton","2023",1
"14","20230824","VID_20230824_121751.mp4","5","30","5","J19","camphor","piperiton","V79","camphor","piperiton","L","camphor",2.5,"hátsó lámpa nem ég","Yes","camphor piperiton","2023",1
"15","20230824","VID_20230824_142108.mp4","4","60","10","J19","camphor","piperiton","V85","camphor","piperiton","R","piperiton",4,"hátsó lámpa nem ég","Yes","camphor piperiton","2023",1
"16","20230824","VID_20230824_150353.mp4","16","60","11","J19","piperiton","camphor","V87","camphor","piperiton","L","piperiton",16,"hátsó lámpa nem ég","Yes","camphor piperiton","2023",1
"17","20230824","VID_20230824_151737.mp4","2","30","12","J19","piperiton","camphor","V88","camphor","piperiton","R","camphor",1,"hátsó lámpa nem ég, necces","Yes","camphor piperiton","2023",1
"18","20230825","VID_20230825_105825.mp4","22","30","2","J15","camphor","piperiton","V93","camphor","piperiton","L","camphor",11,NA,"Yes","camphor piperiton","2023",1
"19","20230825","VID_20230825_135454.mp4","5","120","7","J15","camphor","piperiton","V98","camphor","piperiton","L","camphor",10,NA,"Yes","camphor piperiton","2023",1
"20","20230825","VID_20230825_141008.mp4","20","30","8","J15","camphor","piperiton","V99","camphor","piperiton","L","camphor",10,NA,"Yes","camphor piperiton","2023",1
"21","20230825","VID_20230825_145033.mp4","7","30","10","J15","piperiton","camphor","V101","camphor","piperiton","R","camphor",3.5,NA,"Yes","camphor piperiton","2023",1
"22","20230901","VID_20230901_122557.mp4","11","30","1","J16","camphor","piperiton","V104","camphor","piperiton","L","camphor",5.5,NA,"Yes","camphor piperiton","2023",1
"23","20230901","VID_20230901_133609.mp4","17","30","4","J16","piperiton","camphor","V107","camphor","piperiton","R","camphor",8.5,NA,"Yes","camphor piperiton","2023",1
"24","20230901","VID_20230901_134749.mp4","28","15","5","J16","camphor","piperiton","V108","camphor","piperiton","R","piperiton",7,NA,"Yes","camphor piperiton","2023",1
